id,street,city,accident_datetime_x,street_latitude,street_longitude,latitude,longitude,accident_datetime_y,future_dt_used,duration_sec,static_duration_sec,traffic_ratio,traffic_level
article_450529.0,tower road,sliema,2025-07-27 15:30:00,35.9148787,14.497752,35.9148787,14.497752,2025-07-27 15:30:00,2026-01-04 15:30:00+01:00,94.0,92.0,1.0217391304347827,LOW
article_386207.0,triq santandrija,pembroke,2025-07-26 01:00:00,35.9234324,14.4824207,35.9234324,14.4824207,2025-07-26 01:00:00,2026-01-10 01:00:00+01:00,304.0,324.0,0.9382716049382716,LOW
release_77,salina road,naxxar,2025-07-24 10:15:00,35.9369975,14.4339269,35.9369975,14.4339269,2025-07-24 10:15:00,2026-01-08 10:15:00+01:00,135.0,134.0,1.007462686567164,LOW
article_353525.0,triq san anard,tarxien,2025-07-24 04:30:00,35.8626801,14.5167088,35.8626801,14.5167088,2025-07-24 04:30:00,2026-01-08 04:30:00+01:00,89.0,113.0,0.7876106194690266,LOW
release_7,mosta road,lija,2025-07-23 10:30:00,35.9046481,14.4443042,35.9046481,14.4443042,2025-07-23 10:30:00,2026-01-07 10:30:00+01:00,203.0,192.0,1.0572916666666667,LOW
release_69,triq tas-sliema,gzira,2025-07-23 09:30:00,35.9052523,14.4905482,35.9052523,14.4905482,2025-07-23 09:30:00,2026-01-07 09:30:00+01:00,314.0,253.0,1.2411067193675889,MODERATE
article_450477.0,triq il-buqana,rabat,2025-07-19 12:30:00,35.87684,14.39321,35.87684,14.39321,2025-07-19 12:30:00,2026-01-10 12:30:00+01:00,268.0,255.0,1.0509803921568628,LOW
release_110,triq il-wied ta birkirkara,birkirkara,2025-07-17 22:15:00,35.8964103,14.4631382,35.8964103,14.4631382,2025-07-17 22:15:00,2026-01-08 22:15:00+01:00,240.0,282.0,0.851063829787234,LOW
article_130030.0,triq l-imqabba,mqabba,2025-07-17 17:00:00,35.8483999,14.4815704,35.8483999,14.4815704,2025-07-17 17:00:00,2026-01-08 17:00:00+01:00,283.0,243.0,1.1646090534979423,LOW
article_141175.0,rue d'argens,gzira,2025-07-16 13:15:00,35.9066493,14.4936073,35.9066493,14.4936073,2025-07-16 13:15:00,2026-01-07 13:15:00+01:00,315.0,252.0,1.25,MODERATE
article_495969.0,mount carmel hospital,h'attard,2025-07-16 00:00:00,35.89178,14.43792,35.89178,14.43792,2025-07-16 00:00:00,2026-01-07 00:00:00+01:00,258.0,285.0,0.9052631578947369,LOW
release_98,triq melqart,marsaxlokk,2025-07-14 11:00:00,35.8431644,14.5429351,35.8431644,14.5429351,2025-07-14 11:00:00,2026-01-05 11:00:00+01:00,197.0,190.0,1.0368421052631578,LOW
release_74,triq dun manwel zammit,siggiewi,2025-07-10 06:30:00,35.8578333,14.4358665,35.8578333,14.4358665,2025-07-10 06:30:00,2026-01-08 06:30:00+01:00,218.0,216.0,1.0092592592592593,LOW
article_139548.0,triq mikiel anton vassalli,msida,2025-07-09 18:30:00,35.8981962,14.4867393,35.8981962,14.4867393,2025-07-09 18:30:00,2026-01-07 18:30:00+01:00,315.0,214.0,1.47196261682243,MODERATE
release_32,triq iz-zejfa,mosta,2025-07-06 18:00:00,35.91211,14.41467,35.91211,14.41467,2025-07-06 18:00:00,2026-01-04 18:00:00+01:00,111.0,110.0,1.009090909090909,LOW
article_190828.0,triq iz-zejfa,mosta,2025-07-06 00:00:00,35.91211,14.41467,35.91211,14.41467,2025-07-06 00:00:00,2026-01-04 00:00:00+01:00,100.0,110.0,0.9090909090909091,LOW
article_113265.0,triq il-kbira,mellieha,2025-07-05 11:00:00,35.95614,14.36102,35.95614,14.36102,2025-07-05 11:00:00,2026-01-10 11:00:00+01:00,269.0,264.0,1.018939393939394,LOW
article_297729.0,ta' giorni tunnels,swieqi,2025-07-02 12:30:00,35.89736,14.49371,35.89736,14.49371,2025-07-02 12:30:00,2026-01-07 12:30:00+01:00,415.0,361.0,1.149584487534626,LOW
release_45,triq borg gharib,ghajnsielem,2025-07-01 21:15:00,36.0313836,14.2920442,36.0313836,14.2920442,2025-07-01 21:15:00,2026-01-06 21:15:00+01:00,138.0,136.0,1.0147058823529411,LOW
article_287.0,regional road,msida,2025-06-25 07:00:00,35.9034355,14.4867323,35.9034355,14.4867323,2025-06-25 07:00:00,2026-01-07 07:00:00+01:00,146.0,116.0,1.2586206896551724,MODERATE
article_313.0,regional road,gzira,2025-06-23 08:45:00,35.9034355,14.4867323,35.9034355,14.4867323,2025-06-23 08:45:00,2026-01-05 08:45:00+01:00,170.0,116.0,1.4655172413793103,MODERATE
release_35,triq l-imdina,haz-zebbug,2025-06-19 22:00:00,35.874767,14.4608589,35.874767,14.4608589,2025-06-19 22:00:00,2026-01-08 22:00:00+01:00,178.0,198.0,0.898989898989899,LOW
release_2,triq dawret il-gudja,gudja,2025-06-19 18:30:00,35.84692,14.49538,35.84692,14.49538,2025-06-19 18:30:00,2026-01-08 18:30:00+01:00,351.0,332.0,1.0572289156626506,LOW
article_361.0,pinto wharf,floriana,2025-06-19 13:15:00,35.8902423,14.5081438,35.8902423,14.5081438,2025-06-19 13:15:00,2026-01-08 13:15:00+01:00,827.0,722.0,1.1454293628808865,LOW
article_404.0,triq hal farrug,luqa,2025-06-19 10:15:00,35.8566303,14.4685956,35.8566303,14.4685956,2025-06-19 10:15:00,2026-01-08 10:15:00+01:00,426.0,437.0,0.9748283752860412,LOW
article_404.0,triq hal farrug,luqa,2025-06-19 10:15:00,35.8566303,14.4685956,35.8566303,14.4685956,2025-06-19 10:15:00,2026-01-08 10:15:00+01:00,426.0,437.0,0.9748283752860412,LOW
article_404.0,triq hal farrug,luqa,2025-06-19 10:15:00,35.8566303,14.4685956,35.8566303,14.4685956,2025-06-19 10:15:00,2026-01-08 10:15:00+01:00,426.0,437.0,0.9748283752860412,LOW
article_404.0,triq hal farrug,luqa,2025-06-19 10:15:00,35.8566303,14.4685956,35.8566303,14.4685956,2025-06-19 10:15:00,2026-01-08 10:15:00+01:00,426.0,437.0,0.9748283752860412,LOW
article_407.0,triq president anton buttigieg,zejtun,2025-06-19 06:30:00,35.8503003,14.532077,35.8503003,14.532077,2025-06-19 06:30:00,2026-01-08 06:30:00+01:00,148.0,120.0,1.2333333333333334,MODERATE
article_381.0,triq dawret il-gudja,gudja,2025-06-19 00:00:00,35.84692,14.49538,35.84692,14.49538,2025-06-19 00:00:00,2026-01-08 00:00:00+01:00,279.0,332.0,0.8403614457831325,LOW
article_408.0,triq l-imdina,zebbug,2025-06-18 22:00:00,35.874767,14.4608589,35.874767,14.4608589,2025-06-18 22:00:00,2026-01-07 22:00:00+01:00,176.0,198.0,0.8888888888888888,LOW
release_14,triq sant elizabetta,xewkija,2025-06-13 22:00:00,36.0355961,14.2592552,36.0355961,14.2592552,2025-06-13 22:00:00,2026-01-09 22:00:00+01:00,119.0,127.0,0.937007874015748,LOW
release_81,triq villabate,marsascala,2025-06-12 10:00:00,35.8625547,14.5506421,35.8625547,14.5506421,2025-06-12 10:00:00,2026-01-08 10:00:00+01:00,138.0,135.0,1.0222222222222221,LOW
release_9,john adye street,naxxar,2025-06-11 15:45:00,35.91342,14.44688,35.91342,14.44688,2025-06-11 15:45:00,2026-01-07 15:45:00+01:00,190.0,153.0,1.2418300653594772,MODERATE
article_640.0,triq ix-xatt juan b azopardo,senglea,2025-06-07 17:00:00,35.88794,14.51784,35.88794,14.51784,2025-06-07 17:00:00,2026-01-03 17:00:00+01:00,402.0,377.0,1.06631299734748,LOW
article_640.0,triq ix-xatt juan b azopardo,senglea,2025-06-07 17:00:00,35.88794,14.51784,35.88794,14.51784,2025-06-07 17:00:00,2026-01-03 17:00:00+01:00,402.0,377.0,1.06631299734748,LOW
article_640.0,triq ix-xatt juan b azopardo,senglea,2025-06-07 17:00:00,35.88794,14.51784,35.88794,14.51784,2025-06-07 17:00:00,2026-01-03 17:00:00+01:00,402.0,377.0,1.06631299734748,LOW
